FL,FR,BL,BR,Danger,Front_Avg,Min_Dist,Rel_Speed,Acceleration,TTC_Seconds,Steering_Angle,Status_Label,Safety_Pct,False_Positive_Pct,Steering_Display,Aggression_Score,Threat_Source
207.85,286.7,293.04,289,0,247.275,207.85,15.735,2.32,15.71496663,18.7025,HARD TURN,100,31.89,18.7° R,0,FL
180.16,286.42,292.81,288.77,1,233.29,180.16,13.985,-1.75,16.6814444,25.555,HARD TURN,100,45.55,25.6° R,0,FL
157.38,284.64,292.25,288.58,1,221.01,157.38,12.28,-1.705,17.997557,30.8975,HARD TURN,100,57.58,30.9° R,0,FL
140.97,283.35,291.79,288.52,1,212.16,140.97,8.85,-3.43,23.97288136,34.7775,HARD TURN,93.98,67.11,34.8° R,0,FL
124.67,282.48,291.48,288.41,1,203.575,124.67,8.585,-0.265,23.71287129,38.685,HARD TURN,83.11,77.52,38.7° R,0,FL
105.7,281.84,291.1,288.4,1,193.77,105.7,9.805,1.22,19.76236614,43.36,HARD TURN,70.47,90.9,43.4° R,0,FL
87.86,281.38,291,288.39,3,184.62,87.86,9.15,-0.655,20.17704918,45,HARD TURN,58.57,104.82,45° R,0,FL
69.53,280.27,288.79,285.85,3,174.9,69.53,9.72,0.57,17.99382716,45,HARD TURN,46.35,120.49,45° R,0,FL
56.04,279.43,287.26,284.02,3,167.735,56.04,7.165,-2.555,23.41032798,45,HARD TURN,37.36,133.18,45° R,0,FL
46.6,278.85,286.18,282.74,3,162.725,46.6,5.01,-2.155,32.48003992,45,HARD TURN,31.07,142.73,45° R,0,FL
39.98,278.49,285.43,281.89,3,159.235,39.98,3.49,-1.52,45.6260745,45,COLLISION WARNING,26.65,149.78,45° R,0,FL
35.3,278.2,284.89,281.31,3,156.75,35.3,2.485,-1.005,63.07847082,45,COLLISION WARNING,23.53,154.96,45° R,0,FL
29.83,277.92,284.53,280.83,4,153.875,29.83,2.875,0.39,53.52173913,45,COLLISION WARNING,19.89,161.23,45° R,0,FL
24.78,276.05,282.57,278.76,4,150.415,24.78,3.46,0.585,43.47254335,45,COLLISION WARNING,16.52,167.05,45° R,0,FL
19.91,274.78,281.22,277.3,4,147.345,19.91,3.07,-0.39,47.99511401,45,COLLISION WARNING,13.27,172.97,45° R,0,FL
16.45,273.96,280.2,276.35,4,145.205,16.45,2.14,-0.93,67.85280374,45,COLLISION WARNING,10.97,177.34,45° R,0,FL
13.77,273.33,279.56,275.72,4,143.55,13.77,1.655,-0.485,86.73716012,45,CRITICAL BRAKE,9.18,180.82,45° R,0,FL
105.18,272.93,279.07,275.23,1,189.055,105.18,-45.505,-47.16,999,40.9775,HARD TURN,70.12,88.73,41° R,47.16,FL
